image_id,x_min,y_min,x_max,y_max,class_id,image_width,image_height
0,124,182,180,238,0,320,320
0,56,124,96,173,4,320,320
0,165,224,216,270,0,320,320
0,80,12,93,29,2,320,320
0,61,281,96,315,7,320,320
0,243,19,280,70,7,320,320
0,202,123,233,172,9,320,320
0,198,159,262,230,0,320,320
1,0,0,1,1,14,320,320
10,0,0,1,1,14,320,320
100,0,0,1,1,14,320,320
1000,0,0,1,1,14,320,320
1001,0,0,1,1,14,320,320
1002,0,0,1,1,14,320,320
1003,161,90,202,125,7,320,320
1003,237,60,268,98,4,320,320
1004,0,0,1,1,14,320,320
1005,83,86,89,95,3,320,320
1005,262,284,276,304,6,320,320
1005,209,120,232,151,7,320,320
1006,111,14,160,58,5,320,320
1006,194,233,252,305,4,320,320
1006,58,270,65,279,4,320,320
1006,236,163,256,179,0,320,320
1006,135,205,152,219,7,320,320
1006,30,246,48,264,2,320,320
1007,106,208,162,270,8,320,320
1008,0,0,1,1,14,320,320
1009,45,88,68,111,2,320,320
1009,219,285,235,302,6,320,320
1009,18,129,52,171,8,320,320
1009,234,226,280,299,7,320,320
1009,85,292,97,316,9,320,320
1009,48,75,87,129,4,320,320
101,0,0,1,1,14,320,320
1010,0,0,1,1,14,320,320
1011,39,24,59,49,3,320,320
1012,0,0,1,1,14,320,320
1013,17,57,52,92,2,320,320
1014,261,73,286,96,3,320,320
1014,152,245,205,292,5,320,320
1014,126,265,171,310,0,320,320
1014,62,239,94,299,8,320,320
1014,236,216,276,285,8,320,320
1014,36,207,47,253,1,320,320
1014,149,43,169,76,6,320,320
1015,0,0,1,1,14,320,320
1016,0,0,1,1,14,320,320
1017,0,0,1,1,14,320,320
1018,172,126,222,191,1,320,320
1018,93,248,111,278,9,320,320
1018,33,216,39,243,1,320,320
1018,172,193,222,251,5,320,320
1019,0,0,1,1,14,320,320
102,0,0,1,1,14,320,320
1020,0,0,1,1,14,320,320
1021,0,0,1,1,14,320,320
1022,0,0,1,1,14,320,320
1023,156,226,186,256,3,320,320
1023,107,176,116,187,1,320,320
1023,246,9,280,47,3,320,320
1023,268,120,292,175,1,320,320
1023,46,122,68,152,1,320,320
1023,239,179,276,231,6,320,320
1023,145,25,207,97,3,320,320
1023,245,83,270,109,3,320,320
1023,65,67,128,130,8,320,320
1024,0,0,1,1,14,320,320
1025,0,0,1,1,14,320,320
1026,0,0,1,1,14,320,320
1027,241,78,257,104,2,320,320
1027,51,103,109,167,9,320,320
1028,0,0,1,1,14,320,320
1029,0,0,1,1,14,320,320
103,0,0,1,1,14,320,320
1030,16,90,53,136,8,320,320
1030,67,102,121,168,3,320,320
1030,210,154,243,199,6,320,320
1030,264,152,284,188,0,320,320
1030,254,181,287,235,8,320,320
1030,80,178,124,222,2,320,320
1030,50,136,95,191,6,320,320
1030,163,29,188,67,8,320,320
1031,0,0,1,1,14,320,320
1032,0,0,1,1,14,320,320
1033,100,215,118,239,4,320,320
1033,152,108,164,129,1,320,320
1033,85,168,117,203,2,320,320
1033,125,249,171,306,7,320,320
1033,32,172,89,235,7,320,320
1033,160,270,189,298,6,320,320
1034,0,0,1,1,14,320,320
1035,77,262,98,285,0,320,320
1035,139,191,161,235,1,320,320
1035,32,52,57,82,5,320,320
1035,136,169,188,241,4,320,320
1036,57,20,83,53,7,320,320
1036,75,74,138,137,0,320,320
1037,279,79,291,89,0,320,320
1037,180,115,194,131,7,320,320
1037,67,268,85,310,1,320,320
1037,237,198,274,257,9,320,320
1037,144,67,150,75,7,320,320
1037,235,210,248,226,5,320,320
1037,11,19,28,46,1,320,320
1037,100,130,144,184,6,320,320
1038,0,0,1,1,14,320,320
1039,230,109,262,171,9,320,320
1039,227,196,263,240,3,320,320
1039,146,243,170,274,3,320,320
104,277,259,284,280,1,320,320
104,105,180,116,194,9,320,320
104,206,32,237,83,8,320,320
104,38,81,104,155,2,320,320
104,145,241,162,261,4,320,320
104,103,101,136,137,0,320,320
104,217,249,232,294,1,320,320
1040,71,21,84,42,3,320,320
1040,202,59,245,129,8,320,320
1040,137,245,145,253,7,320,320
1040,231,99,294,162,2,320,320
1040,104,204,142,241,7,320,320
1040,239,215,247,228,8,320,320
1040,70,232,95,259,3,320,320
1040,186,109,203,125,2,320,320
1040,175,281,200,309,0,320,320
1041,0,0,1,1,14,320,320
1042,0,0,1,1,14,320,320
1043,0,0,1,1,14,320,320
1044,0,0,1,1,14,320,320
1045,0,0,1,1,14,320,320
1046,0,0,1,1,14,320,320
1047,0,0,1,1,14,320,320
1048,0,0,1,1,14,320,320
1049,0,0,1,1,14,320,320
105,0,0,1,1,14,320,320
1050,0,0,1,1,14,320,320
1051,206,83,222,99,0,320,320
1051,89,77,118,128,1,320,320
1052,0,0,1,1,14,320,320
1053,0,0,1,1,14,320,320
1054,168,241,236,296,5,320,320
1055,0,0,1,1,14,320,320
1056,0,0,1,1,14,320,320
1057,0,0,1,1,14,320,320
1058,0,0,1,1,14,320,320
1059,0,0,1,1,14,320,320
106,0,0,1,1,14,320,320
1060,0,0,1,1,14,320,320
1061,5,192,24,211,5,320,320
1061,158,136,232,211,2,320,320
1061,61,59,99,131,1,320,320
1061,78,112,97,139,6,320,320
1061,172,182,206,216,6,320,320
1061,166,154,174,168,9,320,320
1061,238,103,273,159,9,320,320
1061,109,57,145,108,7,320,320
1061,290,139,301,158,8,320,320
1062,0,0,1,1,14,320,320
1063,0,0,1,1,14,320,320
1064,0,0,1,1,14,320,320
1065,0,0,1,1,14,320,320
1066,0,0,1,1,14,320,320
1067,0,0,1,1,14,320,320
1068,37,135,89,203,6,320,320
1068,23,68,44,89,0,320,320
1068,275,28,295,52,0,320,320
1068,80,233,110,283,5,320,320
1068,191,167,241,226,6,320,320
1069,0,0,1,1,14,320,320
